Unnamed: 0,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,cochange_true_positives,cochange_true_negatives,cochange_false_positives,cochange_false_negatives,cochange_samples,cochange_accuracy,cochange_positive_rate,cochange_hit_rate,cochange_precision,cochange_precision_lift,cochange_recall,cochange_fpr,cochange_jaccard,cochange_independent_prob,cochange_lift_over_independent,cochange_lift_over_majority,cochange_concept_entropy,cochange_classifier_entropy,cochange_mutual_information,cochange_comment,cond_mean_file_ccp,cond_mean_diff_file_ccp,monotonicity,line_pearson,removal_removal_probability,removal_true_positives,removal_false_positives,twins_true_positives,twins_true_negatives,twins_false_positives,twins_false_negatives,twins_samples,twins_accuracy,twins_positive_rate,twins_hit_rate,twins_precision,twins_precision_lift,twins_recall,twins_fpr,twins_jaccard,twins_independent_prob,twins_lift_over_independent,twins_lift_over_majority,twins_concept_entropy,twins_classifier_entropy,twins_mutual_information,twins_comment,control_medium_Unnamed: 0,control_medium_true_positives,control_medium_true_negatives,control_medium_false_positives,control_medium_false_negatives,control_medium_samples,control_medium_accuracy,control_medium_positive_rate,control_medium_hit_rate,control_medium_precision,control_medium_precision_lift,control_medium_recall,control_medium_fpr,control_medium_jaccard,control_medium_independent_prob,control_medium_lift_over_independent,control_medium_lift_over_majority,control_medium_concept_entropy,control_medium_classifier_entropy,control_medium_mutual_information,control_medium_comment,control_short_Unnamed: 0,control_short_true_positives,control_short_true_negatives,control_short_false_positives,control_short_false_negatives,control_short_samples,control_short_accuracy,control_short_positive_rate,control_short_hit_rate,control_short_precision,control_short_precision_lift,control_short_recall,control_short_fpr,control_short_jaccard,control_short_independent_prob,control_short_lift_over_independent,control_short_lift_over_majority,control_short_concept_entropy,control_short_classifier_entropy,control_short_mutual_information,control_short_comment,control_long_Unnamed: 0,control_long_true_positives,control_long_true_negatives,control_long_false_positives,control_long_false_negatives,control_long_samples,control_long_accuracy,control_long_positive_rate,control_long_hit_rate,control_long_precision,control_long_precision_lift,control_long_recall,control_long_fpr,control_long_jaccard,control_long_independent_prob,control_long_lift_over_independent,control_long_lift_over_majority,control_long_concept_entropy,control_long_classifier_entropy,control_long_mutual_information,control_long_comment
68,HiddenField,4498.0,13726.0,10658.0,4153.0,33035.0,0.55,0.26,0.46,0.3,0.13,0.52,0.44,0.23,0.52,0.06,-0.25,0.83,1.0,0.0,,567,12251,547,9163,22528,0.57,0.43,0.05,0.51,0.18,0.06,0.04,0.06,0.56,0.01,0.0,0.99,0.28,0.0,,0.2318113229055509,0.02450040105127113,True,0.15917858467411022,0.030000000000000027,10740,280,17284,147091,18754,77751,260880,0.63,0.36,0.14,0.48,0.32,0.18,0.11,0.15,0.6,0.05,-0.01,0.95,0.58,0.01,,40,1801.0,7069.0,5975.0,1689.0,16534.0,0.54,0.21,0.47,0.23,0.1,0.52,0.46,0.19,0.52,0.04,-0.32,0.74,1.0,0.0,,47,360.0,5359.0,1935.0,782.0,8436.0,0.68,0.14,0.27,0.16,0.16,0.32,0.27,0.12,0.67,0.02,-0.22,0.57,0.84,0.0,,67,1420.0,2266.0,3665.0,714.0,8065.0,0.46,0.26,0.63,0.28,0.06,0.67,0.62,0.24,0.44,0.04,-0.38,0.83,0.95,0.0,
69,DeclarationOrder,2589.0,18123.0,6261.0,6062.0,33035.0,0.63,0.26,0.27,0.29,0.12,0.3,0.26,0.17,0.61,0.03,-0.15,0.83,0.84,0.0,,543,12336,462,9187,22528,0.57,0.43,0.04,0.54,0.25,0.06,0.04,0.05,0.56,0.02,0.01,0.99,0.26,0.0,,0.2344728851630889,0.027161963308809132,True,0.6361143678486,0.06000000000000005,6912,469,12399,128465,37380,82636,260880,0.54,0.36,0.19,0.25,-0.32,0.13,0.23,0.09,0.58,-0.08,-0.15,0.95,0.7,0.01,,59,830.0,10059.0,2985.0,2660.0,16534.0,0.66,0.21,0.23,0.22,0.03,0.24,0.23,0.13,0.66,0.0,-0.17,0.74,0.78,0.0,,95,61.0,6774.0,520.0,1081.0,8436.0,0.81,0.14,0.07,0.1,-0.22,0.05,0.07,0.04,0.81,-0.01,-0.06,0.57,0.36,0.0,,81,1217.0,2694.0,3237.0,917.0,8065.0,0.48,0.26,0.55,0.27,0.03,0.57,0.55,0.23,0.48,0.02,-0.34,0.83,0.99,0.0,
70,MultipleVariableDeclarations,339.0,23569.0,815.0,8312.0,33035.0,0.72,0.26,0.03,0.29,0.12,0.04,0.03,0.04,0.72,0.0,-0.02,0.83,0.22,0.0,,59,12743,55,9671,22528,0.57,0.43,0.01,0.52,0.2,0.01,0.0,0.01,0.57,0.0,0.0,0.99,0.05,0.0,,0.2302473418515857,0.022936419997305942,True,0.09511458873994967,0.07999999999999996,853,72,4186,160224,5621,90849,260880,0.63,0.36,0.04,0.43,0.17,0.04,0.03,0.04,0.63,0.01,-0.01,0.95,0.23,0.0,,116,63.0,12731.0,313.0,3427.0,16534.0,0.77,0.21,0.02,0.17,-0.21,0.02,0.02,0.02,0.78,-0.0,-0.02,0.74,0.16,0.0,,20,3.0,7285.0,9.0,1139.0,8436.0,0.86,0.14,0.0,0.25,0.85,0.0,0.0,0.0,0.86,0.0,-0.0,0.57,0.02,0.0,,82,208.0,5373.0,558.0,1926.0,8065.0,0.69,0.26,0.09,0.27,0.03,0.1,0.09,0.08,0.69,0.0,-0.06,0.83,0.45,0.0,
71,NoWhitespaceAfter,543.0,23071.0,1313.0,8108.0,33035.0,0.71,0.26,0.06,0.29,0.12,0.06,0.05,0.05,0.71,0.0,-0.03,0.83,0.31,0.0,,130,12692,106,9600,22528,0.57,0.43,0.01,0.55,0.28,0.01,0.01,0.01,0.57,0.0,0.0,0.99,0.08,0.0,,0.238851108480868,0.03154018662658825,True,0.30838732209943065,0.09999999999999998,1379,156,5203,161401,4444,89832,260880,0.64,0.36,0.04,0.54,0.48,0.05,0.03,0.05,0.63,0.02,0.0,0.95,0.23,0.0,,66,145.0,12517.0,527.0,3345.0,16534.0,0.77,0.21,0.04,0.22,0.02,0.04,0.04,0.04,0.77,0.0,-0.03,0.74,0.25,0.0,,11,24.0,7242.0,52.0,1118.0,8436.0,0.86,0.14,0.01,0.32,1.33,0.02,0.01,0.02,0.86,0.0,-0.0,0.57,0.07,0.0,,112,281.0,5104.0,827.0,1853.0,8065.0,0.67,0.26,0.14,0.25,-0.04,0.13,0.14,0.09,0.67,-0.0,-0.09,0.83,0.58,0.0,
72,EqualsHashCode,39.0,24290.0,94.0,8612.0,33035.0,0.74,0.26,0.0,0.29,0.12,0.0,0.0,0.0,0.74,0.0,-0.0,0.83,0.04,0.0,,68,12788,10,9662,22528,0.57,0.43,0.0,0.87,1.02,0.01,0.0,0.01,0.57,0.01,0.0,0.99,0.03,0.0,,0.22197246370977614,0.014661541855496396,True,0.02870061175912528,0.37,132,78,377,165443,402,94658,260880,0.64,0.36,0.0,0.48,0.33,0.0,0.0,0.0,0.63,0.0,-0.0,0.95,0.03,0.0,,91,9.0,13008.0,36.0,3481.0,16534.0,0.79,0.21,0.0,0.2,-0.05,0.0,0.0,0.0,0.79,-0.0,-0.0,0.74,0.03,0.0,,124,0.0,7287.0,7.0,1142.0,8436.0,0.86,0.14,0.0,0.0,-1.0,0.0,0.0,0.0,0.86,-0.0,-0.0,0.57,0.01,0.0,,18,25.0,5875.0,56.0,2109.0,8065.0,0.73,0.26,0.01,0.31,0.17,0.01,0.01,0.01,0.73,0.0,-0.01,0.83,0.08,0.0,
73,IllegalType,484.0,23212.0,1172.0,8167.0,33035.0,0.72,0.26,0.05,0.29,0.12,0.06,0.05,0.05,0.71,0.0,-0.03,0.83,0.29,0.0,,84,12718,80,9646,22528,0.57,0.43,0.01,0.51,0.19,0.01,0.01,0.01,0.57,0.0,0.0,0.99,0.06,0.0,,0.2365283509955495,0.029217429141269763,True,0.10397898125670807,0.07999999999999996,1335,112,3449,163142,2703,91586,260880,0.64,0.36,0.02,0.56,0.54,0.04,0.02,0.04,0.63,0.01,0.0,0.95,0.16,0.0,,85,106.0,12637.0,407.0,3384.0,16534.0,0.77,0.21,0.03,0.21,-0.02,0.03,0.03,0.03,0.77,-0.0,-0.02,0.74,0.2,0.0,,111,2.0,7253.0,41.0,1140.0,8436.0,0.86,0.14,0.01,0.05,-0.66,0.0,0.01,0.0,0.86,-0.0,-0.01,0.57,0.05,0.0,,93,295.0,5126.0,805.0,1839.0,8065.0,0.67,0.26,0.14,0.27,0.01,0.14,0.14,0.1,0.67,0.0,-0.09,0.83,0.57,0.0,
74,AvoidStarImport,1430.0,20910.0,3474.0,7221.0,33035.0,0.68,0.26,0.15,0.29,0.11,0.17,0.14,0.12,0.67,0.01,-0.08,0.83,0.61,0.0,,192,12571,227,9538,22528,0.57,0.43,0.02,0.46,0.06,0.02,0.02,0.02,0.57,0.0,-0.0,0.99,0.13,0.0,,0.23545678394068315,0.02814586208640341,False,0.10657445009843868,0.07999999999999996,3345,297,4828,160213,5632,90207,260880,0.63,0.36,0.04,0.46,0.27,0.05,0.03,0.05,0.62,0.01,-0.0,0.95,0.24,0.0,,54,559.0,11084.0,1960.0,2931.0,16534.0,0.7,0.21,0.15,0.22,0.05,0.16,0.15,0.1,0.7,0.0,-0.11,0.74,0.62,0.0,,55,57.0,6973.0,321.0,1085.0,8436.0,0.83,0.14,0.04,0.15,0.11,0.05,0.04,0.04,0.83,0.0,-0.04,0.57,0.26,0.0,,89,537.0,4461.0,1470.0,1597.0,8065.0,0.62,0.26,0.25,0.27,0.01,0.25,0.25,0.15,0.62,0.0,-0.16,0.83,0.81,0.0,
75,MissingOverride,22.0,24330.0,54.0,8629.0,33035.0,0.74,0.26,0.0,0.29,0.11,0.0,0.0,0.0,0.74,0.0,-0.0,0.83,0.02,0.0,,7,12787,11,9723,22528,0.57,0.43,0.0,0.39,-0.1,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.01,0.0,,0.25872462752891073,0.051413705674630994,False,0.13024632157551214,0.15000000000000002,69,12,267,165580,265,94768,260880,0.64,0.36,0.0,0.5,0.38,0.0,0.0,0.0,0.64,0.0,0.0,0.95,0.02,0.0,,138,1.0,13034.0,10.0,3489.0,16534.0,0.79,0.21,0.0,0.09,-0.57,0.0,0.0,0.0,0.79,-0.0,-0.0,0.74,0.01,0.0,,1,3.0,7294.0,0.0,1139.0,8436.0,0.86,0.14,0.0,1.0,6.39,0.0,0.0,0.0,0.86,0.0,0.0,0.57,0.0,0.0,,131,14.0,5883.0,48.0,2120.0,8065.0,0.73,0.26,0.01,0.23,-0.15,0.01,0.01,0.01,0.73,-0.0,-0.01,0.83,0.07,0.0,
76,FinalLocalVariable,6573.0,8353.0,16031.0,2078.0,33035.0,0.45,0.26,0.68,0.29,0.11,0.76,0.66,0.27,0.41,0.1,-0.39,0.83,0.9,0.01,,1020,11780,1018,8710,22528,0.57,0.43,0.09,0.5,0.16,0.1,0.08,0.09,0.56,0.02,0.0,0.99,0.44,0.0,,0.2333330243678117,0.026022102513532014,True,0.7071209984738939,0.010000000000000007,16451,180,7762,156669,9176,87273,260880,0.63,0.36,0.06,0.46,0.26,0.08,0.06,0.07,0.62,0.02,-0.01,0.95,0.35,0.0,,43,2863.0,3381.0,9663.0,627.0,16534.0,0.38,0.21,0.76,0.23,0.08,0.82,0.74,0.22,0.35,0.08,-0.52,0.74,0.8,0.0,,37,475.0,4930.0,2364.0,667.0,8436.0,0.64,0.14,0.34,0.17,0.24,0.42,0.32,0.14,0.62,0.03,-0.26,0.57,0.92,0.0,,92,1944.0,636.0,5295.0,190.0,8065.0,0.32,0.26,0.9,0.27,0.01,0.91,0.89,0.26,0.31,0.02,-0.56,0.83,0.48,0.0,
77,EmptyCatchBlock,316.0,23616.0,768.0,8335.0,33035.0,0.72,0.26,0.03,0.29,0.11,0.04,0.03,0.03,0.72,0.0,-0.02,0.83,0.21,0.0,,101,12719,79,9629,22528,0.57,0.43,0.01,0.56,0.3,0.01,0.01,0.01,0.57,0.0,0.0,0.99,0.07,0.0,,0.2449959124007924,0.037684990546512635,True,0.1149158892609308,0.09999999999999998,933,103,4464,163042,2803,90571,260880,0.64,0.36,0.03,0.61,0.69,0.05,0.02,0.05,0.63,0.02,0.01,0.95,0.18,0.01,,12,73.0,12835.0,209.0,3417.0,16534.0,0.78,0.21,0.02,0.26,0.23,0.02,0.02,0.02,0.78,0.0,-0.01,0.74,0.12,0.0,,38,2.0,7284.0,10.0,1140.0,8436.0,0.86,0.14,0.0,0.17,0.23,0.0,0.0,0.0,0.86,0.0,-0.0,0.57,0.02,0.0,,105,202.0,5343.0,588.0,1932.0,8065.0,0.69,0.26,0.1,0.26,-0.03,0.09,0.1,0.07,0.69,-0.0,-0.07,0.83,0.46,0.0,
78,DefaultComesLast,28.0,24316.0,68.0,8623.0,33035.0,0.74,0.26,0.0,0.29,0.11,0.0,0.0,0.0,0.74,0.0,-0.0,0.83,0.03,0.0,,2,12797,1,9728,22528,0.57,0.43,0.0,0.67,0.54,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.0,0.0,,0.2391890828797152,0.031878161025435475,False,0.03068982610394488,0.010000000000000007,66,1,1389,164486,1359,93646,260880,0.64,0.36,0.01,0.51,0.39,0.01,0.01,0.01,0.63,0.0,0.0,0.95,0.08,0.0,,20,4.0,13032.0,12.0,3486.0,16534.0,0.79,0.21,0.0,0.25,0.18,0.0,0.0,0.0,0.79,0.0,-0.0,0.74,0.01,0.0,,142,0.0,7294.0,0.0,1142.0,8436.0,0.86,0.14,0.0,0.0,-1.0,0.0,0.0,0.0,0.86,0.0,0.0,0.57,0.0,0.0,,134,17.0,5868.0,63.0,2117.0,8065.0,0.73,0.26,0.01,0.21,-0.2,0.01,0.01,0.01,0.73,-0.0,-0.01,0.83,0.08,0.0,
79,AbstractClassName,611.0,22876.0,1508.0,8040.0,33035.0,0.71,0.26,0.06,0.29,0.1,0.07,0.06,0.06,0.71,0.0,-0.04,0.83,0.34,0.0,,45,12765,33,9685,22528,0.57,0.43,0.0,0.58,0.34,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.03,0.0,,0.21880914972540205,0.011498227871122313,True,0.04251504939169385,0.030000000000000027,1520,42,4606,159733,6112,90429,260880,0.63,0.36,0.04,0.43,0.18,0.05,0.04,0.05,0.62,0.01,-0.01,0.95,0.25,0.0,,98,186.0,12279.0,765.0,3304.0,16534.0,0.75,0.21,0.06,0.2,-0.07,0.05,0.06,0.04,0.76,-0.0,-0.04,0.74,0.32,0.0,,90,38.0,6984.0,310.0,1104.0,8436.0,0.83,0.14,0.04,0.11,-0.19,0.03,0.04,0.03,0.83,-0.0,-0.04,0.57,0.25,0.0,,10,272.0,5383.0,548.0,1862.0,8065.0,0.7,0.26,0.1,0.33,0.25,0.13,0.09,0.1,0.69,0.02,-0.05,0.83,0.47,0.0,
80,SingleSpaceSeparator,1149.0,21528.0,2856.0,7502.0,33035.0,0.69,0.26,0.12,0.29,0.1,0.13,0.12,0.1,0.68,0.01,-0.07,0.83,0.53,0.0,,384,12357,441,9346,22528,0.57,0.43,0.04,0.47,0.08,0.04,0.03,0.04,0.56,0.0,-0.0,0.99,0.23,0.0,,0.23801929616300035,0.030708374308720587,True,0.1429747307491628,0.15000000000000002,3293,587,5773,158603,7242,89262,260880,0.63,0.36,0.05,0.44,0.22,0.06,0.04,0.06,0.62,0.01,-0.01,0.95,0.29,0.0,,104,301.0,11765.0,1279.0,3189.0,16534.0,0.73,0.21,0.1,0.19,-0.1,0.09,0.1,0.06,0.73,-0.01,-0.07,0.74,0.45,0.0,,77,37.0,7040.0,254.0,1105.0,8436.0,0.84,0.14,0.03,0.13,-0.06,0.03,0.03,0.03,0.84,-0.0,-0.03,0.57,0.22,0.0,,45,610.0,4407.0,1524.0,1524.0,8065.0,0.62,0.26,0.26,0.29,0.08,0.29,0.26,0.17,0.61,0.02,-0.15,0.83,0.83,0.0,
81,NoWhitespaceBefore,314.0,23611.0,773.0,8337.0,33035.0,0.72,0.26,0.03,0.29,0.1,0.04,0.03,0.03,0.72,0.0,-0.02,0.83,0.21,0.0,,195,12651,147,9535,22528,0.57,0.43,0.02,0.57,0.32,0.02,0.01,0.02,0.57,0.01,0.0,0.99,0.11,0.0,,0.2347189706498554,0.02740804879557565,True,0.03838935065050491,0.23,936,286,1528,163458,2387,93507,260880,0.63,0.36,0.02,0.39,0.07,0.02,0.01,0.02,0.63,0.0,-0.01,0.95,0.11,0.0,,111,59.0,12771.0,273.0,3431.0,16534.0,0.78,0.21,0.02,0.18,-0.16,0.02,0.02,0.02,0.78,-0.0,-0.02,0.74,0.14,0.0,,99,4.0,7256.0,38.0,1138.0,8436.0,0.86,0.14,0.0,0.1,-0.3,0.0,0.01,0.0,0.86,-0.0,-0.0,0.57,0.05,0.0,,60,200.0,5418.0,513.0,1934.0,8065.0,0.7,0.26,0.09,0.28,0.06,0.09,0.09,0.08,0.69,0.0,-0.05,0.83,0.43,0.0,
82,GenericWhitespace,76.0,24196.0,188.0,8575.0,33035.0,0.73,0.26,0.01,0.29,0.1,0.01,0.01,0.01,0.73,0.0,-0.0,0.83,0.07,0.0,,45,12754,44,9685,22528,0.57,0.43,0.0,0.51,0.17,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.04,0.0,,0.2211496188635997,0.01383869700932,True,0.02156877204991316,0.25,219,73,789,165314,531,94246,260880,0.64,0.36,0.01,0.6,0.64,0.01,0.0,0.01,0.63,0.0,0.0,0.95,0.05,0.0,,82,21.0,12965.0,79.0,3469.0,16534.0,0.79,0.21,0.01,0.21,-0.01,0.01,0.01,0.01,0.79,-0.0,-0.0,0.74,0.05,0.0,,110,1.0,7274.0,20.0,1141.0,8436.0,0.86,0.14,0.0,0.05,-0.65,0.0,0.0,0.0,0.86,-0.0,-0.0,0.57,0.03,0.0,,61,40.0,5828.0,103.0,2094.0,8065.0,0.73,0.26,0.02,0.28,0.06,0.02,0.02,0.02,0.73,0.0,-0.01,0.83,0.13,0.0,
83,OneStatementPerLine,103.0,24131.0,253.0,8548.0,33035.0,0.73,0.26,0.01,0.29,0.1,0.01,0.01,0.01,0.73,0.0,-0.01,0.83,0.09,0.0,,20,12761,37,9710,22528,0.57,0.43,0.0,0.35,-0.19,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.03,0.0,,0.2303791686587129,0.023068246804433173,False,0.14123812674714487,0.13,289,43,3473,161511,4334,91562,260880,0.63,0.36,0.03,0.44,0.22,0.04,0.03,0.03,0.63,0.01,-0.01,0.95,0.19,0.0,,107,16.0,12975.0,69.0,3474.0,16534.0,0.79,0.21,0.01,0.19,-0.11,0.0,0.01,0.0,0.79,-0.0,-0.0,0.74,0.05,0.0,,80,1.0,7287.0,7.0,1141.0,8436.0,0.86,0.14,0.0,0.12,-0.08,0.0,0.0,0.0,0.86,-0.0,-0.0,0.57,0.01,0.0,,100,69.0,5737.0,194.0,2065.0,8065.0,0.72,0.26,0.03,0.26,-0.01,0.03,0.03,0.03,0.72,-0.0,-0.02,0.83,0.21,0.0,
84,TodoComment,729.0,22587.0,1797.0,7922.0,33035.0,0.71,0.26,0.08,0.29,0.1,0.08,0.07,0.07,0.7,0.01,-0.04,0.83,0.39,0.0,,198,12604,194,9532,22528,0.57,0.43,0.02,0.51,0.17,0.02,0.02,0.02,0.57,0.0,0.0,0.99,0.13,0.0,,0.2472286907214989,0.039917768867219185,True,0.1094237452549462,0.11,2077,259,2979,162191,3654,92056,260880,0.63,0.36,0.03,0.45,0.23,0.03,0.02,0.03,0.63,0.01,-0.0,0.95,0.17,0.0,,57,210.0,12297.0,747.0,3280.0,16534.0,0.76,0.21,0.06,0.22,0.04,0.06,0.06,0.05,0.76,0.0,-0.04,0.74,0.32,0.0,,102,9.0,7195.0,99.0,1133.0,8436.0,0.85,0.14,0.01,0.08,-0.38,0.01,0.01,0.01,0.86,-0.0,-0.01,0.57,0.1,0.0,,78,400.0,4870.0,1061.0,1734.0,8065.0,0.65,0.26,0.18,0.27,0.03,0.19,0.18,0.13,0.65,0.01,-0.11,0.83,0.68,0.0,
85,WhitespaceAround,2256.0,18711.0,5673.0,6395.0,33035.0,0.63,0.26,0.24,0.28,0.09,0.26,0.23,0.16,0.62,0.02,-0.14,0.83,0.8,0.0,,794,11898,900,8936,22528,0.56,0.43,0.08,0.47,0.09,0.08,0.07,0.07,0.56,0.01,-0.01,0.99,0.39,0.0,,0.23508987876815166,0.027778956913871892,True,0.16366976052439286,0.13,5930,901,10032,152896,12949,85003,260880,0.62,0.36,0.09,0.44,0.2,0.11,0.08,0.09,0.61,0.02,-0.02,0.95,0.43,0.0,,77,786.0,10153.0,2891.0,2704.0,16534.0,0.66,0.21,0.22,0.21,0.01,0.23,0.22,0.12,0.66,0.0,-0.16,0.74,0.76,0.0,,63,133.0,6481.0,813.0,1009.0,8436.0,0.78,0.14,0.11,0.14,0.04,0.12,0.11,0.07,0.78,0.0,-0.09,0.57,0.51,0.0,,53,936.0,3561.0,2370.0,1198.0,8065.0,0.56,0.26,0.41,0.28,0.07,0.44,0.4,0.21,0.54,0.03,-0.24,0.83,0.98,0.0,
86,ArrayTrailingComma,166.0,23968.0,416.0,8485.0,33035.0,0.73,0.26,0.02,0.29,0.09,0.02,0.02,0.02,0.73,0.0,-0.01,0.83,0.13,0.0,,78,12768,30,9652,22528,0.57,0.43,0.0,0.72,0.67,0.01,0.0,0.01,0.57,0.0,0.0,0.99,0.04,0.0,,0.2285932984554569,0.021282376601177183,True,0.0782830459422313,0.15000000000000002,569,98,2596,162358,3487,92439,260880,0.63,0.36,0.02,0.43,0.17,0.03,0.02,0.03,0.63,0.0,-0.01,0.95,0.16,0.0,,115,29.0,12901.0,143.0,3461.0,16534.0,0.78,0.21,0.01,0.17,-0.2,0.01,0.01,0.01,0.78,-0.0,-0.01,0.74,0.08,0.0,,106,1.0,7278.0,16.0,1141.0,8436.0,0.86,0.14,0.0,0.06,-0.57,0.0,0.0,0.0,0.86,-0.0,-0.0,0.57,0.02,0.0,,69,109.0,5647.0,284.0,2025.0,8065.0,0.71,0.26,0.05,0.28,0.05,0.05,0.05,0.05,0.71,0.0,-0.03,0.83,0.28,0.0,
87,EmptyForInitializerPad,4.0,24374.0,10.0,8647.0,33035.0,0.74,0.26,0.0,0.29,0.09,0.0,0.0,0.0,0.74,0.0,-0.0,0.83,0.01,0.0,,1,12796,2,9729,22528,0.57,0.43,0.0,0.33,-0.23,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.0,0.0,,0.2350938339438339,0.027782912089554163,False,0.01510955890918564,0.5,3,3,51,165834,11,94984,260880,0.64,0.36,0.0,0.82,1.26,0.0,0.0,0.0,0.64,0.0,0.0,0.95,0.0,0.0,,147,0.0,13040.0,4.0,3490.0,16534.0,0.79,0.21,0.0,0.0,-1.0,0.0,0.0,0.0,0.79,-0.0,-0.0,0.74,0.0,0.0,,135,0.0,7294.0,0.0,1142.0,8436.0,0.86,0.14,0.0,0.0,-1.0,0.0,0.0,0.0,0.86,0.0,0.0,0.57,0.0,0.0,,141,1.0,5922.0,9.0,2133.0,8065.0,0.73,0.26,0.0,0.1,-0.62,0.0,0.0,0.0,0.73,-0.0,-0.0,0.83,0.01,0.0,
88,JavadocStyle,2596.0,17849.0,6535.0,6055.0,33035.0,0.62,0.26,0.28,0.28,0.09,0.3,0.27,0.17,0.61,0.02,-0.16,0.83,0.85,0.0,,267,12536,262,9463,22528,0.57,0.43,0.02,0.5,0.17,0.03,0.02,0.03,0.56,0.01,0.0,0.99,0.16,0.0,,0.2330358480717251,0.02572492621744535,True,0.6717958353158313,0.020000000000000014,7120,180,6302,155644,10201,88733,260880,0.62,0.36,0.06,0.38,0.05,0.07,0.06,0.06,0.62,0.0,-0.02,0.95,0.34,0.0,,69,878.0,9831.0,3213.0,2612.0,16534.0,0.65,0.21,0.25,0.21,0.02,0.25,0.25,0.13,0.65,0.0,-0.18,0.74,0.81,0.0,,41,233.0,6108.0,1186.0,909.0,8436.0,0.75,0.14,0.17,0.16,0.21,0.2,0.16,0.1,0.74,0.01,-0.13,0.57,0.65,0.0,,63,1019.0,3329.0,2602.0,1115.0,8065.0,0.54,0.26,0.45,0.28,0.06,0.48,0.44,0.22,0.52,0.03,-0.27,0.83,0.99,0.0,
89,TypeName,95.0,24144.0,240.0,8556.0,33035.0,0.73,0.26,0.01,0.28,0.08,0.01,0.01,0.01,0.73,0.0,-0.01,0.83,0.08,0.0,,5,12794,4,9725,22528,0.57,0.43,0.0,0.56,0.29,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.01,0.0,,0.22577311791363955,0.01846219605935981,True,0.044866004050543015,0.020000000000000014,184,3,375,164008,1837,94660,260880,0.63,0.36,0.01,0.17,-0.53,0.0,0.01,0.0,0.63,-0.01,-0.01,0.95,0.07,0.0,,125,23.0,12908.0,136.0,3467.0,16534.0,0.78,0.21,0.01,0.14,-0.31,0.01,0.01,0.01,0.78,-0.0,-0.01,0.74,0.08,0.0,,88,4.0,7263.0,31.0,1138.0,8436.0,0.86,0.14,0.0,0.11,-0.16,0.0,0.0,0.0,0.86,-0.0,-0.0,0.57,0.04,0.0,,6,49.0,5839.0,92.0,2085.0,8065.0,0.73,0.26,0.02,0.35,0.31,0.02,0.02,0.02,0.73,0.0,-0.01,0.83,0.13,0.0,
90,FinalClass,458.0,23206.0,1178.0,8193.0,33035.0,0.72,0.26,0.05,0.28,0.07,0.05,0.05,0.05,0.71,0.0,-0.03,0.83,0.28,0.0,,47,12745,53,9683,22528,0.57,0.43,0.0,0.47,0.09,0.0,0.0,0.0,0.57,0.0,-0.0,0.99,0.04,0.0,,0.2361921199024281,0.0288811980481484,True,0.04979650642993279,0.06999999999999995,1141,82,3615,162057,3788,91420,260880,0.64,0.36,0.03,0.49,0.34,0.04,0.02,0.04,0.63,0.01,-0.0,0.95,0.19,0.0,,49,171.0,12452.0,592.0,3319.0,16534.0,0.76,0.21,0.05,0.22,0.06,0.05,0.05,0.04,0.76,0.0,-0.03,0.74,0.27,0.0,,24,28.0,7181.0,113.0,1114.0,8436.0,0.85,0.14,0.02,0.2,0.47,0.02,0.02,0.02,0.85,0.0,-0.01,0.57,0.12,0.0,,109,186.0,5385.0,546.0,1948.0,8065.0,0.69,0.26,0.09,0.25,-0.04,0.09,0.09,0.07,0.69,-0.0,-0.06,0.83,0.44,0.0,
91,WhitespaceAfter,1523.0,20487.0,3897.0,7128.0,33035.0,0.67,0.26,0.16,0.28,0.07,0.18,0.16,0.12,0.66,0.01,-0.1,0.83,0.64,0.0,,560,12220,578,9170,22528,0.57,0.43,0.05,0.49,0.14,0.06,0.05,0.05,0.56,0.01,-0.0,0.99,0.29,0.0,,0.23243533901869534,0.02512441716441563,True,0.18340756094458247,0.13,3993,602,7736,151689,14156,87299,260880,0.61,0.36,0.08,0.35,-0.03,0.08,0.09,0.07,0.61,-0.0,-0.04,0.95,0.42,0.0,,97,460.0,11177.0,1867.0,3030.0,16534.0,0.7,0.21,0.14,0.2,-0.06,0.13,0.14,0.09,0.71,-0.01,-0.11,0.74,0.59,0.0,,56,48.0,7021.0,273.0,1094.0,8436.0,0.84,0.14,0.04,0.15,0.1,0.04,0.04,0.03,0.84,0.0,-0.03,0.57,0.23,0.0,,79,753.0,3912.0,2019.0,1381.0,8065.0,0.58,0.26,0.34,0.27,0.03,0.35,0.34,0.18,0.57,0.01,-0.21,0.83,0.93,0.0,
